date,Negative factual tweets,Negative personal tweets,Positive factual tweets,Positive personal tweets,Neutral factual tweets,Neutral personal tweets,Total amount of tweets
2017-10-01,1,0,4,2,20,4,31
2017-10-02,3,0,11,3,37,1,55
2017-10-03,29,1,113,36,451,1,631
2017-10-04,1,2,33,29,108,0,173
2017-10-05,2,1,16,11,66,1,97
2017-10-06,6,1,20,8,42,1,78
2017-10-07,0,0,6,5,69,0,80
2017-10-08,0,0,5,3,21,0,29
2017-10-09,5,0,24,12,19,1,61
2017-10-10,7,0,9,9,45,0,70
2017-10-11,9,0,12,13,40,4,78
2017-10-12,4,0,20,8,54,4,90
2017-10-13,2,0,17,7,33,2,61
2017-10-14,2,0,18,11,43,6,80
2017-10-15,3,1,15,3,15,3,40
2017-10-16,18,0,14,8,27,0,67
2017-10-17,6,0,20,4,39,1,70
2017-10-18,5,2,22,9,14,0,52
2017-10-19,4,1,17,13,46,3,84
2017-10-20,13,0,22,8,49,2,94
2017-10-21,4,1,13,7,41,0,66
2017-10-22,2,0,8,23,24,0,57
2017-10-23,8,0,13,8,39,1,69
2017-10-24,4,1,19,10,32,2,68
2017-10-25,6,3,12,11,28,1,61
2017-10-26,3,4,17,11,34,6,75
2017-10-27,5,2,29,9,35,4,84
2017-10-28,3,0,7,6,22,2,40
2017-10-29,3,1,4,4,29,0,41
2017-10-30,2,0,13,7,26,0,48
2017-10-31,4,2,10,11,41,3,71
2017-11-01,5,2,26,12,39,3,87
2017-11-02,7,1,29,14,33,3,87
2017-11-03,30,3,39,14,159,4,249
2017-11-04,3,1,24,3,67,4,102
2017-11-05,0,1,10,4,49,5,69
2017-11-06,12,3,8,8,58,3,92
2017-11-07,6,2,33,12,53,1,107
2017-11-08,4,1,32,13,60,0,110
2017-11-09,9,4,28,9,40,5,95
2017-11-10,2,0,20,13,42,1,78
2017-11-11,4,0,5,16,25,2,52
2017-11-12,5,0,5,16,30,0,56
2017-11-13,5,0,13,28,56,0,102
2017-11-14,4,0,38,17,188,1,248
2017-11-15,9,0,62,15,145,2,233
2017-11-16,3,1,18,21,45,0,88
2017-11-17,3,4,29,19,46,3,104
2017-11-18,2,2,52,7,29,7,99
2017-11-19,6,5,15,8,29,2,65
2017-11-20,2,1,11,21,42,3,80
2017-11-21,2,2,24,30,54,1,113
2017-11-22,9,2,15,12,65,1,104
2017-11-23,4,1,4,9,29,0,47
2017-11-24,3,0,10,11,20,0,44
2017-11-25,5,0,9,9,39,0,62
2017-11-26,1,3,8,4,34,0,50
2017-11-27,2,1,5,8,42,1,59
2017-11-28,4,2,24,14,40,2,86
2017-11-29,3,2,18,17,72,1,113
2017-11-30,2,0,18,20,57,0,97
2017-12-01,10,0,25,9,65,1,110
2017-12-02,3,0,16,14,30,1,64
2017-12-03,1,1,12,10,29,1,54
2017-12-04,1,1,25,11,39,5,82
2017-12-05,3,5,10,16,54,0,88
2017-12-06,4,0,25,11,54,2,96
2017-12-07,7,1,16,34,58,2,118
2017-12-08,1,2,17,8,67,4,99
2017-12-09,8,1,13,6,24,1,53
2017-12-10,1,0,15,1,21,3,41
2017-12-11,8,0,23,7,29,2,69
2017-12-12,1,1,50,21,52,4,129
2017-12-13,0,1,101,13,54,0,169
