date,Negative factual tweets,Negative personal tweets,Positive factual tweets,Positive personal tweets,Neutral factual tweets,Neutral personal tweets,Total amount of tweets
2019-10-01,7,3,13,25,24,0,72
2019-10-02,4,1,26,20,26,2,79
2019-10-03,9,3,29,31,52,1,125
2019-10-04,3,1,21,24,44,6,99
2019-10-05,1,5,12,27,23,3,71
2019-10-06,7,8,16,19,24,1,75
2019-10-07,6,4,28,27,38,2,105
2019-10-08,4,1,20,21,35,0,81
2019-10-09,6,5,20,18,23,1,73
2019-10-10,3,10,24,33,26,2,98
2019-10-11,4,6,25,17,29,5,86
2019-10-12,9,4,10,21,44,0,88
2019-10-13,3,4,17,19,22,1,66
2019-10-14,17,4,32,29,52,0,134
2019-10-15,41,4,35,38,78,4,200
2019-10-16,31,3,25,32,39,7,137
2019-10-17,32,3,29,34,38,5,141
2019-10-18,12,0,22,31,26,4,95
2019-10-19,3,5,16,19,42,3,88
2019-10-20,6,1,20,18,27,1,73
2019-10-21,7,0,21,20,48,1,97
2019-10-22,4,3,25,29,44,5,110
2019-10-23,5,2,26,15,41,2,91
2019-10-24,5,3,23,29,27,2,89
2019-10-25,6,1,41,33,36,4,121
2019-10-26,1,3,15,22,23,1,65
2019-10-27,3,2,28,34,30,1,98
2019-10-28,9,4,29,24,31,2,99
2019-10-29,9,5,17,36,36,5,108
2019-10-30,9,2,27,24,39,1,102
2019-10-31,6,4,28,37,29,1,105
2019-11-01,18,5,25,35,36,5,124
2019-11-02,33,4,61,51,192,9,350
2019-11-03,19,5,47,32,102,3,208
2019-11-04,14,8,37,37,90,3,189
2019-11-05,6,9,32,38,48,1,134
2019-11-06,8,1,32,32,55,1,129
2019-11-07,9,5,21,37,42,1,115
2019-11-08,4,4,28,31,35,3,105
2019-11-09,9,3,24,21,39,2,98
2019-11-10,3,3,17,19,19,7,68
2019-11-11,7,1,26,24,34,1,93
2019-11-12,6,2,30,28,33,0,99
2019-11-13,9,2,24,21,37,0,93
2019-11-14,8,4,53,38,42,2,147
2019-11-15,11,8,68,50,103,1,241
2019-11-16,1,3,28,22,40,3,97
2019-11-17,4,3,21,23,21,1,73
2019-11-18,9,5,26,26,32,4,102
2019-11-19,6,3,25,18,43,3,98
2019-11-20,9,1,18,32,22,3,85
2019-11-21,10,4,33,21,34,0,102
2019-11-22,2,6,22,22,27,1,80
2019-11-23,4,2,12,23,25,3,69
2019-11-24,3,3,17,21,24,2,70
2019-11-25,5,2,23,19,32,0,81
2019-11-26,8,2,28,24,27,2,91
2019-11-27,3,0,19,29,33,1,85
2019-11-28,4,2,17,31,24,0,78
2019-11-29,15,3,15,40,34,2,109
2019-11-30,9,1,11,22,21,2,66
2019-12-01,2,0,19,16,21,1,59
2019-12-02,8,4,30,27,32,0,101
2019-12-03,10,5,24,27,43,1,110
2019-12-04,4,2,20,29,40,7,102
2019-12-05,10,2,27,47,50,9,145
2019-12-06,5,2,32,29,51,3,122
2019-12-07,5,3,14,20,27,4,73
2019-12-08,2,5,23,21,24,0,75
2019-12-09,9,5,25,22,31,4,96
2019-12-10,4,5,35,32,37,0,113
2019-12-11,11,3,38,26,62,1,141
2019-12-12,10,4,33,45,36,3,131
2019-12-13,6,2,31,38,34,5,116
2019-12-14,4,3,26,31,33,2,99
2019-12-15,3,1,23,20,23,0,70
2019-12-16,4,2,19,19,34,0,78
2019-12-17,3,4,29,21,44,1,102
2019-12-18,7,3,20,38,37,3,108
2019-12-19,2,4,23,23,28,0,80
2019-12-20,6,4,19,33,27,0,89
2019-12-21,3,3,17,24,18,3,68
2019-12-22,5,3,20,24,30,0,82
2019-12-23,8,5,14,28,46,1,102
2019-12-24,1,2,29,36,37,1,106
2019-12-25,5,1,16,26,22,2,72
2019-12-26,4,4,15,25,22,4,74
2019-12-27,4,4,24,29,23,4,88
2019-12-28,4,2,27,25,17,1,76
2019-12-29,4,4,19,36,19,2,84
2019-12-30,11,6,14,49,34,2,116
2019-12-31,8,4,24,34,30,1,101
2020-01-01,11,6,24,32,23,0,96
2020-01-02,8,1,22,22,21,1,75
2020-01-03,12,1,21,26,24,3,87
2020-01-04,4,2,19,17,22,2,66
2020-01-05,6,4,21,17,17,4,69
2020-01-06,9,3,23,20,34,5,94
2020-01-07,10,4,28,34,43,1,120
2020-01-08,4,5,25,37,43,2,116
2020-01-09,4,3,21,21,28,0,77
2020-01-10,6,2,17,20,34,1,80
2020-01-11,3,1,23,19,27,2,75
2020-01-12,5,5,9,21,27,0,67
2020-01-13,6,6,19,17,34,0,82
2020-01-14,4,5,27,26,41,2,105
2020-01-15,10,5,28,19,23,2,87
2020-01-16,9,2,26,23,17,10,87
2020-01-17,10,2,18,24,30,2,86
2020-01-18,6,0,21,24,19,0,70
2020-01-19,3,2,18,39,22,1,85
2020-01-20,4,2,24,24,25,1,80
2020-01-21,6,7,29,29,29,2,102
2020-01-22,6,1,35,25,30,2,99
2020-01-23,3,3,29,33,27,0,95
2020-01-24,3,8,19,39,26,4,99
2020-01-25,6,21,14,31,36,1,109
2020-01-26,3,18,20,20,20,1,82
2020-01-27,11,17,23,24,38,8,121
2020-01-28,6,10,29,46,36,5,132
2020-01-29,27,12,59,88,217,7,410
2020-01-30,11,10,45,60,101,6,233
2020-01-31,7,2,42,27,35,2,115
2020-02-01,8,4,26,40,32,2,112
2020-02-02,8,4,23,29,20,2,86
2020-02-03,4,4,16,32,38,2,96
2020-02-04,5,2,21,27,48,1,104
2020-02-05,4,0,22,22,45,1,94
2020-02-06,4,2,28,37,41,28,140
2020-02-07,11,3,25,25,44,9,117
2020-02-08,9,4,12,26,25,2,78
2020-02-09,8,5,20,28,27,0,88
2020-02-10,7,2,22,24,34,1,90
2020-02-11,11,3,21,27,56,2,120
