date,Negative factual tweets,Negative personal tweets,Positive factual tweets,Positive personal tweets,Neutral factual tweets,Neutral personal tweets,Total amount of tweets
2021-04-01,4,4,17,39,41,0,105
2021-04-02,7,4,24,17,31,0,83
2021-04-03,4,1,20,12,24,1,62
2021-04-04,2,1,8,30,25,1,67
2021-04-05,6,1,36,26,57,1,127
2021-04-06,6,4,18,21,41,1,91
2021-04-07,7,3,26,23,31,3,93
2021-04-08,4,5,28,27,46,2,112
2021-04-09,2,4,22,13,25,1,67
2021-04-10,3,3,24,35,21,2,88
2021-04-11,2,3,15,17,13,1,51
2021-04-12,5,2,12,18,40,0,77
2021-04-13,9,3,33,32,44,2,123
2021-04-14,5,7,23,31,51,0,117
2021-04-15,10,1,28,24,35,1,99
2021-04-16,2,3,22,23,33,2,85
2021-04-17,3,2,18,25,35,1,84
2021-04-18,4,3,13,8,26,0,54
2021-04-19,4,4,12,21,36,2,79
2021-04-20,4,4,23,30,39,2,102
2021-04-21,6,3,19,27,48,2,105
2021-04-22,11,6,24,28,36,2,107
2021-04-23,6,5,25,23,46,0,105
2021-04-24,8,2,23,22,25,0,80
2021-04-25,11,2,16,15,20,0,64
2021-04-26,8,6,27,22,41,2,106
2021-04-27,5,3,21,34,42,5,110
2021-04-28,1,3,21,30,50,5,110
2021-04-29,15,3,35,43,62,3,161
2021-04-30,5,17,48,53,83,5,211
2021-05-01,45,49,188,287,379,10,958
2021-05-02,44,124,170,167,259,20,784
2021-05-03,117,152,234,153,367,105,1128
2021-05-04,36,32,128,107,212,30,545
2021-05-05,31,16,72,83,86,12,300
2021-05-06,23,41,75,59,141,5,344
2021-05-07,21,39,46,64,108,4,282
2021-05-08,10,12,53,58,62,5,200
2021-05-09,3,10,26,37,35,5,116
2021-05-10,9,9,28,36,40,3,125
2021-05-11,10,4,33,51,42,4,144
2021-05-12,6,7,27,40,48,3,131
2021-05-13,9,5,30,33,38,4,119
2021-05-14,5,3,21,25,33,2,89
2021-05-15,1,6,28,26,32,6,99
2021-05-16,4,7,15,12,24,4,66
2021-05-17,7,8,47,23,69,1,155
2021-05-18,12,8,58,45,88,1,212
2021-05-19,15,4,40,33,76,3,171
2021-05-20,5,1,30,39,43,1,119
2021-05-21,5,3,39,26,52,0,125
2021-05-22,5,0,22,28,31,1,87
2021-05-23,6,6,21,31,21,3,88
2021-05-24,18,3,24,37,26,1,109
2021-05-25,9,6,34,35,43,2,129
2021-05-26,6,6,25,26,39,1,103
2021-05-27,10,3,33,26,37,3,112
2021-05-28,8,4,19,22,36,2,91
2021-05-29,5,3,31,23,31,5,98
2021-05-30,3,7,16,19,27,1,73
2021-05-31,6,3,20,38,31,2,100
2021-06-01,13,5,34,30,38,0,120
2021-06-02,8,8,47,36,42,1,142
2021-06-03,7,3,31,19,32,1,93
2021-06-04,6,5,23,18,33,2,87
2021-06-05,1,4,18,16,26,1,66
2021-06-06,7,3,23,21,27,0,81
2021-06-07,8,1,15,41,20,4,89
2021-06-08,25,9,49,60,207,1,351
2021-06-09,20,11,68,38,142,0,279
2021-06-10,13,5,113,35,71,4,241
2021-06-11,4,4,38,24,42,1,113
2021-06-12,4,8,31,22,30,2,97
2021-06-13,2,3,32,23,26,2,88
2021-06-14,10,7,29,28,38,1,113
2021-06-15,8,4,28,23,24,0,87
2021-06-16,8,7,24,22,26,5,92
2021-06-17,3,4,19,28,32,1,87
2021-06-18,3,1,24,16,27,2,73
2021-06-19,3,3,20,26,21,1,74
2021-06-20,6,3,23,27,24,0,83
2021-06-21,1,2,20,21,37,0,81
2021-06-22,8,2,25,32,33,1,101
2021-06-23,23,7,59,41,84,2,216
2021-06-24,17,5,81,67,76,2,248
2021-06-25,7,1,35,33,27,1,104
2021-06-26,10,7,18,30,19,1,85
2021-06-27,2,2,16,28,27,2,77
2021-06-28,6,3,30,33,33,3,108
2021-06-29,4,4,17,28,23,1,77
2021-06-30,5,4,25,39,36,3,112
2021-07-01,6,6,26,33,42,1,114
2021-07-02,4,3,36,49,47,1,140
2021-07-03,7,0,25,34,31,0,97
2021-07-04,5,1,21,32,27,0,86
2021-07-05,6,2,21,26,22,2,79
2021-07-06,3,7,26,28,31,1,96
2021-07-07,7,6,26,29,33,0,101
2021-07-08,4,4,28,30,51,1,118
2021-07-09,5,3,37,24,52,0,121
2021-07-10,5,8,21,24,34,0,92
2021-07-11,5,7,16,21,20,4,73
2021-07-12,11,5,28,17,45,1,107
2021-07-13,8,6,24,28,38,2,106
2021-07-14,7,6,42,27,28,0,110
2021-07-15,6,3,32,26,32,2,101
2021-07-16,10,4,42,44,48,0,148
2021-07-17,2,1,24,19,32,2,80
2021-07-18,3,5,24,20,16,0,68
