,index,id,created_at,user_id,username,name,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,quote_url,video,thumbnail,reply_to,tweet_word_count,polarity,subjectivity
0,0,1507086147780071432,2022-03-24 21:05:12,332364947,simonsalhanyre,BHHS Simon & Salhany,"Berkshire Hathaway HomeServices Simon &amp; Salhany Realty Inc If you've been holding out for the perfect home, look no further. #homesweethome #newhome   https://t.co/ucSOCG2Jg3  https://t.co/3FYMgER9xj",0,1,1,0,0,0,2,0,0,1,1,0,24,0.5,0.75
1,1,1507085089703968771,2022-03-24 21:01:00,1129030043836047360,prospectorptrs,Prospector Partners,"It took seven months for Tesla’s market cap to increase from $100B to $500B, overtaking Berkshire Hathaway in 2020. How has inflation, rising interest rates, and the Russia-Ukraine conflict changed investor interest?  https://t.co/ynzMZYjBhQ  https://t.co/eWQMnYLS5I",0,1,1,0,0,0,0,0,0,1,1,0,34,0.0,0.0
2,2,1507083985112997891,2022-03-24 20:56:36,827212847012773888,diamondrafargo,Diamond Realty Assoc,"I have a new #listing in #Rothsay #MN   https://t.co/JnKTXMYqG5  Berkshire Hathaway HomeServices Premier Properties 1815 38th St. S. Fargo, ND 58103  https://t.co/WpC4HLkkDV",0,1,1,0,0,0,3,0,0,1,1,0,22,0.13636363636363635,0.45454545454545453
3,3,1507083947288641558,2022-03-24 20:56:27,52761258,townerealty,Towne Realty,"What a lovely home. If you know someone who's in the midst of a home search, tag them and send them our way! #BHHS #HRVA #realestate #experts #home #BerkshireHathaway #TowneRealty  https://t.co/MeLZGseXDB",0,1,0,0,0,0,7,0,0,0,0,0,31,0.625,0.75
4,5,1507078980456824837,2022-03-24 20:36:43,101797860,chirosegroupre,Chicago Rose Group (Rose),Just posted a photo @ Berkshire Hathaway HomeServices - Chicago Rose Group  https://t.co/qqFt06mxLT,0,1,0,0,0,0,0,0,0,0,0,0,13,0.6,0.95
5,6,1507078170809405449,2022-03-24 20:33:30,29887134,cbcarpentier,Christopher Carpentier,RT @WPCareySchool: W. P. Carey's Hendrik Bessembinder ranks #BerkshireHathaway the 12th best stock of the past 30 years. The company continues to perform.  https://t.co/XRmaXEGxi5 #GoodStock  https://t.co/oD2UKhIbUc,3,1,1,0,0,0,2,0,0,1,1,0,26,0.375,0.275
6,7,1507077439998070789,2022-03-24 20:30:36,16659697,fandrhomes,FandRhomes,Every day is a new day! Don't waste what's in front of you. Frank Filippone Berkshire Hathaway HomeServices Towne Realty we are with you every step of the way contract to closing  https://t.co/kiaPPqGAic,0,0,1,0,0,0,0,0,0,1,1,0,33,-0.014772727272727285,0.22727272727272727
7,8,1507075394188587013,2022-03-24 20:22:28,1258121972585725954,youngin74703257,MP Investments,Berkshire Hathaway has enough  cash to buy Blackrock.   Levels,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0.5
8,9,1507074787524456450,2022-03-24 20:20:04,61258803,thegameaisle,Kim Vandenbroucke,Warren Buffett's Berkshire Hathaway to Acquire Jazwares Owner Alleghany Capital • The Toy Book  https://t.co/y0GQJqCcpP via @toybook,3,1,0,0,0,0,0,0,0,0,0,0,17,0.0,0.0
9,10,1507072642804768771,2022-03-24 20:11:32,3115396771,waynesellsga,The Sweet Life Team,"No matter what stage of life you’re at, a Berkshire Hathaway HomeServices network Forever Agent℠ can help you find what you’re looking for. Get to know us at  https://t.co/CZco70QfY1  #sweetlifeteam #foreveragent #bhhsga  https://t.co/q6IyKZ9mRA",0,1,0,0,0,0,3,0,0,1,1,0,33,0.0,0.0
10,11,1507071774550278153,2022-03-24 20:08:05,38289217,wpcareyschool,W. P. Carey School,W. P. Carey's Hendrik Bessembinder ranks #BerkshireHathaway the 12th best stock of the past 30 years. The company continues to perform.  https://t.co/5QpJjXXyBL #GoodStock  https://t.co/tp72v7uNxP,0,1,1,0,0,0,2,0,0,1,1,0,24,0.375,0.275
11,12,1507071052198912004,2022-03-24 20:05:13,1042222734124769280,wequilcapital,WEquil Capital🇺🇦,"Stocks in the S&amp;P 500 have generally fallen YTD with bright spots in traditional value stocks like Berkshire Hathaway, energy, materials, agriculture, defense, insurance, and healthcare.  https://t.co/RCR66Jdw3w",0,0,1,1,0,2,0,0,0,1,1,0,27,0.25000000000000006,0.6833333333333332
12,13,1507069973038084098,2022-03-24 20:00:56,902368621015384064,tonysilva760,Tony Silva - The Silva Group,"In 2022, homes have been flying off the market!  👉 During the week of April 10, homes sold six days more quickly than the 2021. If you're ready to sell, call the experts at The Silva Group today!  Berkshire Hathaway Home Services California Properties DRE #01388576  https://t.co/jvaZVv2c3x",0,0,1,0,0,0,0,0,0,1,1,0,47,0.3611111111111111,0.5
13,14,1507069643869106178,2022-03-24 19:59:37,5468322,shoobe01,"📱 Steven Hoober. No, with a ""B.""","@seldo I am absolutely using bits from my first non-terrible websites so have a 1999-Today copyright on most of my personal stuff, but… we’re to believe the Berkshire Hathaway website was first made in 1978?  https://t.co/GD0GDw4kBL",0,0,1,0,0,1,0,0,0,1,1,1,36,0.24,0.47333333333333333
14,15,1507068412354310148,2022-03-24 19:54:44,15678279,hoffm,Michael Hoffman,@seldo Copyright © 1978-2022 Berkshire Hathaway Inc.  Excuse me?,0,0,0,0,0,2,0,0,0,0,0,1,9,-0.05,0.05
15,16,1507068121529692169,2022-03-24 19:53:34,252925898,senmernewswire,Arthur Huang,Berkshire Hathaway HomeServices Florida Properties Group Ranks in Global Network Again — BHHS Florida Properties Group  https://t.co/SbuDVBmAsM,0,1,0,0,0,0,0,0,0,0,0,0,17,0.0,0.0
