Date,Open,High,Low,Close,Volume
03/25/2022,"531,088","538,949","529,981","538,949","2,635"
03/24/2022,"528,414","528,817","523,778","528,817","2,100"
03/23/2022,"523,066","528,015","519,151","521,781","2,952"
03/22/2022,"526,201","532,530","523,500","525,854","3,733"
03/21/2022,"517,231","526,733","515,970","525,000","3,323"
03/18/2022,"515,731","520,655","508,853","512,991","3,492"
03/17/2022,"505,385","518,438","503,641","518,438","2,942"
03/16/2022,"502,201","506,029","497,613","504,036","2,516"
03/15/2022,"498,673","501,939","494,023","498,160","2,613"
03/14/2022,"493,988","500,023","491,947","493,785","2,916"
03/11/2022,"490,155","497,333","488,551","489,802","1,791"
03/10/2022,"484,252","490,800","482,520","487,820","1,578"
03/09/2022,"491,339","491,550","484,185","488,245","1,663"
03/08/2022,"486,690","491,500","476,921","478,025","2,048"
03/07/2022,"491,039","492,059","480,888","484,527","2,358"
03/04/2022,"485,375","488,298","480,341","487,440","1,971"
03/03/2022,"490,798","494,420","485,855","491,245","1,917"
03/02/2022,"479,175","488,765","477,091","486,109","1,616"
03/01/2022,"482,000","482,151","470,645","475,879","1,818"
02/28/2022,"476,700","483,638","473,930","476,205","2,427"
02/25/2022,"467,598","482,579","465,326","479,345","2,163"
02/24/2022,"452,928","463,490","450,000","462,110","2,750"
02/23/2022,"474,975","475,989","464,400","465,515","1,711"
02/22/2022,"470,733","473,460","466,257","471,418","2,391"
02/18/2022,"471,528","473,920","469,091","472,257","1,533"
02/17/2022,"474,829","474,829","469,182","470,655","1,430"
02/16/2022,"472,983","475,780","471,401","474,444","1,285"
02/15/2022,"475,390","476,980","472,456","473,980","1,506"
02/14/2022,"479,208","481,054","468,563","472,410","2,180"
02/11/2022,"481,068","484,850","476,886","479,370","1,625"
02/10/2022,"481,000","483,726","478,000","480,105","1,770"
02/09/2022,"485,650","488,400","482,502","483,900","1,829"
02/08/2022,"477,670","484,200","474,112","482,030","1,663"
02/07/2022,"474,100","477,350","468,253","474,900","1,960"
02/04/2022,"471,990","476,888","469,101","473,364","2,007"
02/03/2022,"478,840","481,029","472,082","472,536","1,589"
02/02/2022,"470,620","480,400","469,001","479,500","1,882"
02/01/2022,"469,465","471,888","465,460","471,184","1,931"
01/31/2022,"467,665","470,739","462,151","469,805","2,576"
01/28/2022,"462,560","469,880","456,281","469,880","1,999"
01/27/2022,"469,000","473,900","458,201","461,200","1,923"
01/26/2022,"466,162","470,770","460,206","463,652","1,978"
01/25/2022,"453,012","464,728","443,402","461,919","2,058"
01/24/2022,"449,333","458,000","445,000","456,901","3,722"
01/21/2022,"465,040","466,989","456,623","458,675","2,327"
01/20/2022,"473,973","476,625","466,602","467,390","1,770"
01/19/2022,"483,000","484,850","472,560","473,440","1,778"
01/18/2022,"484,930","487,255","477,585","480,081","2,750"
01/14/2022,"480,280","486,999","476,336","485,379","2,013"
01/13/2022,"482,058","485,800","481,166","483,872","1,821"
01/12/2022,"481,190","483,250","477,094","481,700","1,732"
01/11/2022,"479,353","480,935","473,185","480,340","1,697"
01/10/2022,"483,800","483,800","473,373","477,165","2,641"
01/07/2022,"474,696","480,888","472,610","480,000","2,433"
01/06/2022,"470,900","473,545","467,236","473,153","1,867"
01/05/2022,"468,500","474,181","466,050","467,274","2,195"
01/04/2022,"458,675","466,195","452,376","465,725","2,293"
01/03/2022,"452,005","454,800","451,020","454,300","2,737"
