Date,Open,High,Low,Close,Volume
03/25/2022,"353.90","359.01","353.60","358.76","4,586,000"
03/24/2022,"351.50","352.57","349.13","352.37","3,947,297"
03/23/2022,"349.13","350.79","346.25","348.16","5,644,792"
03/22/2022,"351.01","354.95","348.90","349.93","5,774,373"
03/21/2022,"344.99","351.21","344.30","349.66","6,309,619"
03/18/2022,"344.12","346.87","339.27","342.41","8,898,508"
03/17/2022,"337.00","345.13","336.20","344.97","7,226,002"
03/16/2022,"335.11","337.34","331.71","336.11","5,929,896"
03/15/2022,"332.70","334.58","329.38","332.55","6,931,564"
03/14/2022,"328.65","333.48","327.65","329.98","5,968,947"
03/11/2022,"326.53","331.49","326.23","326.60","5,137,990"
03/10/2022,"322.49","325.70","321.58","325.30","3,845,454"
03/09/2022,"326.59","327.47","322.58","325.40","5,879,917"
03/08/2022,"325.30","327.29","318.03","318.52","7,911,576"
03/07/2022,"325.68","326.44","320.35","322.72","5,879,300"
03/04/2022,"322.66","325.61","320.12","325.34","4,906,040"
03/03/2022,"326.63","329.47","323.89","327.74","4,602,678"
03/02/2022,"319.48","325.75","318.12","323.64","4,507,185"
03/01/2022,"320.26","321.20","313.59","316.84","6,444,105"
02/28/2022,"317.35","322.00","315.19","321.45","7,988,324"
02/25/2022,"311.16","321.43","310.78","319.24","7,488,725"
02/24/2022,"301.78","308.81","299.51","308.28","8,836,304"
02/23/2022,"316.08","316.80","309.38","309.99","5,033,311"
02/22/2022,"313.44","315.43","310.55","314.16","5,105,545"
02/18/2022,"313.83","315.68","313.08","314.80","4,225,597"
02/17/2022,"314.98","315.44","312.30","313.55","3,633,337"
02/16/2022,"315.00","316.90","314.28","315.65","3,975,085"
02/15/2022,"316.64","317.94","314.69","316.20","3,682,373"
02/14/2022,"319.61","320.43","312.17","314.28","8,131,182"
02/11/2022,"320.01","323.12","317.74","319.14","7,497,359"
02/10/2022,"320.99","322.46","318.49","319.85","7,081,291"
02/09/2022,"323.80","325.63","321.54","322.38","3,997,452"
02/08/2022,"318.27","322.65","316.00","321.44","6,238,744"
02/07/2022,"314.91","318.22","312.06","316.51","3,129,336"
02/04/2022,"315.87","317.84","312.70","314.99","3,656,465"
02/03/2022,"319.33","319.65","314.61","315.23","4,152,449"
02/02/2022,"313.57","320.16","313.00","319.60","4,634,781"
02/01/2022,"312.64","314.60","310.31","313.96","4,348,803"
01/31/2022,"312.00","313.30","307.84","313.02","5,238,867"
01/28/2022,"307.68","313.29","304.07","312.90","5,241,647"
01/27/2022,"311.70","315.92","305.31","307.67","5,055,361"
01/26/2022,"310.40","313.33","306.57","309.26","6,127,231"
01/25/2022,"301.87","309.13","294.81","307.19","6,438,259"
01/24/2022,"299.70","304.73","296.09","303.73","8,529,685"
01/21/2022,"309.99","311.02","304.14","305.22","6,541,385"
01/20/2022,"315.58","317.18","310.68","311.01","4,409,303"
01/19/2022,"321.35","321.35","314.58","314.75","6,091,800"
01/18/2022,"322.22","323.29","318.07","320.29","5,769,286"
