,date,SNFT,SNPT,SPFT,SPPT,SNeFT,SNPT,LNFT,LNPT,LPFT,LPPT,LNeFT,LNePT,TAoYW,Open,High,Low,Close,Volume
0,2021-04-01,1,0,14,21,34,0,3,4,3,18,7,0,105,387979.0,390984.0,385702.0,390360.0,15.0
1,2021-04-02,4,2,14,8,26,0,3,2,10,9,5,0,83,389159.25,392430.5,387376.5,391653.75,15.75
2,2021-04-03,2,0,8,6,18,0,2,1,12,6,6,1,62,390339.5,393877.0,389051.0,392947.5,16.5
3,2021-04-04,0,0,1,16,21,1,2,1,7,14,4,0,67,391519.75,395323.5,390725.5,394241.25,17.25
4,2021-04-05,1,1,25,19,52,0,5,0,11,7,5,1,127,392700.0,396770.0,392400.0,395535.0,18.0
5,2021-04-06,3,1,13,11,33,0,3,3,5,10,8,1,91,395913.0,397890.0,394838.0,396900.0,13.0
6,2021-04-07,3,1,20,13,24,1,4,2,6,10,7,2,93,395730.0,398000.0,394500.0,395888.0,3.0
7,2021-04-08,1,2,16,13,43,2,3,3,12,14,3,0,112,395476.0,396985.0,393973.0,396001.0,11.0
8,2021-04-09,1,2,10,6,22,0,1,2,12,7,3,1,67,397126.0,400000.0,396122.0,400000.0,14.0
9,2021-04-10,1,1,13,28,18,1,2,2,11,7,3,1,88,398559.3333333333,401140.3333333333,397659.3333333333,400873.3333333333,16.0
10,2021-04-11,1,3,9,5,13,0,1,0,6,12,0,1,51,399992.6666666666,402280.6666666666,399196.6666666666,401746.6666666666,18.0
11,2021-04-12,3,2,6,12,36,0,2,0,6,6,4,0,77,401426.0,403421.0,400734.0,402620.0,20.0
12,2021-04-13,6,2,12,15,39,1,3,1,21,17,5,1,123,401668.0,403474.0,400372.0,402500.0,18.0
13,2021-04-14,3,4,11,15,42,0,2,3,12,16,9,0,117,402789.0,404150.0,402000.0,403000.0,18.0
14,2021-04-15,5,1,11,11,31,0,5,0,17,13,4,1,99,403338.0,404999.0,400835.0,404789.0,17.0
15,2021-04-16,1,1,9,14,28,1,1,2,13,9,5,1,85,405752.0,410400.0,405752.0,409250.0,30.0
16,2021-04-17,1,0,9,11,28,0,2,2,9,14,7,1,84,407417.3333333333,410516.0,405393.3333333333,408335.0,27.33333333333333
17,2021-04-18,1,0,4,6,22,0,3,3,9,2,4,0,54,409082.6666666666,410632.0,405034.6666666666,407420.0,24.666666666666664
18,2021-04-19,1,3,3,10,28,1,3,1,9,11,8,1,79,410748.0,410748.0,404676.0,406505.0,22.0
19,2021-04-20,1,2,9,15,34,2,3,2,14,15,5,0,102,404610.0,405340.0,401749.0,403089.0,17.0
20,2021-04-21,6,1,11,16,41,1,0,2,8,11,7,1,105,403656.0,410165.0,403603.0,410153.0,17.0
21,2021-04-22,3,4,11,16,28,2,8,2,13,12,8,0,107,409935.0,410000.0,405256.0,405901.0,18.0
