date,TAoYW,Close
2021-04-01,105,390360.0
2021-04-02,83,391653.75
2021-04-03,62,392947.5
2021-04-04,67,394241.25
2021-04-05,127,395535.0
2021-04-06,91,396900.0
2021-04-07,93,395888.0
2021-04-08,112,396001.0
2021-04-09,67,400000.0
2021-04-10,88,400873.3333333333
2021-04-11,51,401746.6666666666
2021-04-12,77,402620.0
2021-04-13,123,402500.0
2021-04-14,117,403000.0
2021-04-15,99,404789.0
2021-04-16,85,409250.0
2021-04-17,84,408335.0
2021-04-18,54,407420.0
2021-04-19,79,406505.0
2021-04-20,102,403089.0
2021-04-21,105,410153.0
2021-04-22,107,405901.0
2021-04-23,105,408840.0
2021-04-24,80,408402.3333333333
2021-04-25,64,407964.6666666666
2021-04-26,106,407527.0
2021-04-27,110,411400.0
2021-04-28,110,410988.0
2021-04-29,161,417905.0
2021-04-30,211,412500.0
2021-05-01,958,415000.0
2021-05-02,784,417500.0
2021-05-03,1128,420000.0
2021-05-04,545,421420.0
2021-05-05,300,424840.0
2021-05-06,344,435120.0
2021-05-07,282,437131.0
2021-05-08,200,437907.3333333333
2021-05-09,116,438683.6666666666
2021-05-10,125,439460.0
2021-05-11,144,430258.0
2021-05-12,131,425308.0
2021-05-13,119,430640.0
2021-05-14,89,437260.0
2021-05-15,99,436281.3333333333
2021-05-16,66,435302.6666666666
2021-05-17,155,434324.0
2021-05-18,212,431767.0
2021-05-19,171,430720.0
2021-05-20,119,431422.0
2021-05-21,125,432469.0
2021-05-22,87,433456.3333333333
2021-05-23,88,434443.6666666666
2021-05-24,109,435431.0
2021-05-25,129,432274.0
2021-05-26,103,432800.0
2021-05-27,112,435420.0
2021-05-28,91,436000.0
2021-05-29,98,435826.0
2021-05-30,73,435652.0
2021-05-31,100,435478.0
2021-06-01,120,435304.0
2021-06-02,142,435639.0
2021-06-03,93,438745.0
2021-06-04,87,439016.0
2021-06-05,66,437547.6666666667
2021-06-06,81,436079.3333333334
2021-06-07,89,434611.00000000006
2021-06-08,351,434510.0
2021-06-09,279,433125.0
2021-06-10,241,427156.0
2021-06-11,113,430282.0
2021-06-12,97,428814.6666666667
2021-06-13,88,427347.3333333334
2021-06-14,113,425880.00000000006
2021-06-15,87,426045.0
2021-06-16,92,425645.0
2021-06-17,87,420359.0
2021-06-18,73,412729.0
2021-06-19,74,414412.6666666667
2021-06-20,83,416096.3333333334
2021-06-21,81,417780.00000000006
2021-06-22,101,418875.0
2021-06-23,216,413890.0
2021-06-24,248,415000.0
2021-06-25,104,419134.0
2021-06-26,85,418190.6666666667
2021-06-27,77,417247.3333333334
2021-06-28,108,416304.00000000006
2021-06-29,77,417000.0
2021-06-30,112,418601.0
2021-07-01,114,421005.0
2021-07-02,140,420000.0
2021-07-03,97,419232.5
2021-07-04,86,418465.0
2021-07-05,79,417697.5
2021-07-06,96,416930.0
2021-07-07,101,419401.0
2021-07-08,118,411840.0
2021-07-09,121,422000.0
2021-07-10,92,421645.6666666667
2021-07-11,73,421291.3333333334
2021-07-12,107,420937.00000000006
2021-07-13,106,419820.0
2021-07-14,110,418500.0
2021-07-15,101,421350.0
2021-07-16,148,417601.0
2021-07-17,80,415217.3333333333
2021-07-18,68,412833.6666666666
2021-07-19,91,410450.0
2021-07-20,117,416244.0
2021-07-21,93,420055.0
2021-07-22,106,417800.0
2021-07-23,88,419000.0
2021-07-24,81,419166.6666666667
2021-07-25,78,419333.3333333334
2021-07-26,102,419500.00000000006
2021-07-27,95,422309.0
2021-07-28,93,418975.0
2021-07-29,117,420676.0
2021-07-30,90,418900.0
